STT,Food_Code,Food_Name_Vietnamese,Food_Name_English,Waste_Pct_%,Water_g,Energy_kcal,Energy_kj,Protein_g,Fat_g,Carbohydrate_g,Fiber_g,Ash_g,Sugar_total_g,Galactose_g,Maltose_g,Lactose_g,Fructose_g,Glucose_g,Sucrose_g,Calcium_mg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_ug,Selenium_ug,Vitamin_C_mg,Vitamin_B1_mg,Vitamin_B2_mg,Niacin_mg,Vitamin_B5_mg,Vitamin_B6_mg,Folate_ug,Folic_acid_ug,Biotin_ug,Vitamin_B12_ug,Vitamin_A_ug,Vitamin_D_ug,Vitamin_E_mg,Vitamin_K_ug,Beta_caroten_ug,Alpha_caroten_ug,Beta_cryptoxanthin_ug,Lycopene_ug,Lutein_Zeaxanthin_ug,Purin_mg,Total_isoflavone_mg,Daidzein_mg,Genistein_mg,Glycetin_mg,Total_SFA_g,Palmitic_C16_0_g,Margaric_C17_0_g,Stearic_C18_0_g,Arachidic_C20_0_g,Behenic_C22_0_g,Lignoceric_C24_0_g,Total_MUFA_g,Myristoleic_C14_1_g,Palmitoleic_C16_1_g,Oleic_C18_1_g,Total_PUFA_g,Linoleic_C18_2_n6_g,Linolenic_C18_2_n3_g,Arachidonic_C20_4_g,EPA_C20_5_n3_g,DHA_C22_6_n3_g,Total_trans_FA_g,Cholesterol_mg,Phytosterol_mg,Lysine_mg,Methionine_mg,Tryptophan_mg,Phenylalanine_mg,Threonine_mg,Valine_mg,Leucine_mg,Isoleucine_mg,Arginine_mg,Histidine_mg,Cystine_mg,Tyrosine_mg,Alanine_mg,Aspartic_acid_mg,Glutamic_acid_mg,Glycine_mg,Proline_mg,Serine_mg
102,4020,Củ cải đỏ,"Red radish oriental, raw",20.0,86.0,48,203,1.3,,10.8,0.9,1.0,,,,,,,,28,1.40,,,43,,,,,,20,0.02,0.05,0.4,,,,,,,0,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,27,7,3,27,23,37,35,26,51,13,7,12,23,48,160,18,17,17
103,4021,Củ cải trắng,"Radish garden while, raw",13.2,92.1,21,89,1.5,0.1,3.6,1.5,1.2,2.5,,,,,,,40,1.10,15,0.050,41,242,10,0.20,150,3.9,30,0.06,0.06,0.5,0.138,0.046,28,0,,0,0,,0,0.3,0,0,0,0,0,,,,,,0.030,0.030,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.020,0,0.020,0.030,0.000,0.000,0.000,,0,,27,7,3,27,23,37,35,26,51,13,7,12,23,48,160,18,17,17
104,4022,Củ cải trắng khô,"Dried radish, white",0.0,16.0,220,918,17.6,1.5,33.9,17.7,13.3,,,,,,,,629,6.73,170,0.540,204,3494,278,2.13,1631,0.7,0,0.27,0.68,3.4,1.854,0.618,295,0,,0,0,,,,0,0,0,0,0,,,,,,0.220,0.190,0.000,0.030,0.000,0.000,0.000,0.120,0.000,0.000,0.120,0,0.120,0.210,0.000,0.000,0.000,,0,,393,75,43,262,326,365,413,344,456,149,,150,248,538,1492,248,202,240
105,4023,Củ đậu,Pachyrrhizus,15.0,92.0,28,117,1.0,,6.0,0.7,0.3,,,,,,,,8,,,,16,,,,,,6,,,,,,,,,,0,0.00,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
106,4024,Củ niễng,"Manchurian water-rice, Manchurian Wild rice",13.0,90.2,30,124,2.0,,5.4,1.8,0.6,,,,,,,,24,1.40,,,92,,,,,,2,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
107,4025,Dọc củ cải (non),"Horse radish; dish - tree, drumstick leave",4.0,93.6,14,59,1.9,,1.6,1.8,1.1,,,,,,,,220,0.40,,,57,,,,,,72,0.06,0.11,0.7,,,,,,,0,,,,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
108,4026,Dọc mùng,Colocasia indica,20.0,96.0,5,20,0.4,,0.8,2.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
109,4027,Dưa chuột,Cucumber,5.0,95.0,16,66,0.8,0.1,2.9,0.7,0.5,1.67,0,0.01,0,0.87,0.76,0.03,23,1.00,15,0.250,27,169,13,0.18,90,0.3,5,0.03,0.04,0.1,0.259,0.04,7,0,0.4,0,0,0.00,0.03,16.4,138,0,0,0,0,7,,,,,0.030,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.010,0.000,0.000,0.000,0.000,,0,14,23,5,4,15,18,24,26,18,39,9,6,18,23,46,123,25,15,24
110,4028,Dưa gang,Large cucumber,5.0,96.2,11,47,0.8,,2.0,0.7,0.3,,,,,,,,25,0.40,,,37,,,,,,4,0.04,0.04,0.3,,,,,,,0,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
111,4029,Đậu cô ve,"Beans, kidney, in pod, French bean; Navy been",10.0,80.0,73,306,5.0,,13.3,1.0,0.7,,,,,,,,26,0.70,26,0.500,122,254,96,0.01,90,,25,0.34,0.19,2.6,,,,,,,0,,,,180,,,,,37,,,,,,,,,,,,,,,,,,,,,,,0,,132,31,33,102,93,118,166,90,102,56,20,80,106,288,257,91,91,128
112,4030,Đậu đũa,"Cow-peas, yard long, Chinese long bean",10.0,83.0,59,248,6.0,0.4,7.9,2.0,0.7,,,,,,,,47,1.60,36,0.210,16,194,5,0.37,48,1.5,22,0.29,0.18,1.8,0.055,0.024,62,0,,0,0,,,,250,,,,,,,,,,0.110,0.080,0.000,0.010,0.000,0.000,0.000,0.040,0.000,0.000,0.020,0,0.100,0.070,0.000,0.000,0.000,,0,,184,40,32,154,104,162,200,150,196,90,42,115,,,,,,
113,4031,Đậu Hà Lan,Green peas; field pea; Peas garden,10.0,81.0,72,301,6.5,0.4,10.6,1.0,0.5,5.67,0,0.17,0,0.39,0.12,4.99,57,0.80,33,0.410,43,244,5,1.24,176,1.8,27,0.40,0.15,2.2,0.104,0.169,65,0,3,0,0,,0.13,24.8,485,19,,,,,,,,,0.070,0.060,0.000,0.010,0.000,0.000,0.000,0.040,0.000,0.000,0.040,0,0.150,0.040,0.000,0.000,0.000,,0,,489,62,68,295,252,317,466,279,587,143,64,208,301,665,976,264,257,301
114,4032,Đậu rồng (quả non),"Winged bean goabean, Indies, asparagus pea",5.0,89.5,34,141,1.9,0.1,6.3,1.6,0.6,,,,,,,,63,1.30,,,60,,,,,,22,0.06,0.12,0.5,,,,,,,0,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
115,4033,Đu đủ xanh,"Papaya, unripe, raw",25.0,92.1,22,90,0.8,,4.6,2.0,0.5,,,,,,,,63,0.90,56,,50,215,7,,101,,40,0.02,0.03,0.3,,,,,,,0,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
116,4034,Gấc,"Gac fruit, whole",80.0,77.0,122,508,2.1,7.9,10.5,1.8,0.7,,,,,,,,56,1.20,,,6,,,,,,11,,,,,,,,,,0,,,,21756,2718,0,49667,0,,,,,,2.050,1.580,0.000,0.420,0.030,0.000,0.000,1.760,0.000,0.020,1.750,1,1.520,0.030,0.000,0.000,0.000,,0,,,,,,,,,,,,,,,,,,,
117,4035,Giá đậu tương,Sprout of soybeans,0.0,80.8,79,331,7.7,1.8,8.0,0.7,1.0,,,,,,,,52,1.10,72,0.700,58,484,14,1.17,427,0.6,10,0.19,0.15,0.8,0.929,0.176,172,0,,0,0,,,,25,,,,,80,40.71,19.12,21.6,,0.930,0.670,0.000,0.250,0.000,0.000,0.000,1.520,0.000,0.010,1.490,3,3.340,0.450,0.000,0.000,0.000,,0,,392,116,79,391,317,423,670,452,460,164,79,276,377,1452,925,356,323,453
118,4036,Giá đậu xanh,"Mungobean sprouts, Green gram, Tiensin green bean",5.0,86.5,44,185,5.5,0.2,5.1,2.0,0.7,4.13,,,,,,,38,1.40,17,0.190,91,164,23,0.41,164,0.6,10,0.20,0.13,0.8,0.38,0.088,61,0,,0,0,,0.1,33,6,6,6,0,0,,,,,,0.050,0.030,0.000,0.010,0.000,0.000,0.000,0.020,0.000,0.000,0.020,0,0.040,0.020,0.000,0.000,0.000,,0,15,274,87,60,271,225,324,463,316,366,132,43,192,259,1062,656,211,272,273
119,4037,Hành củ tươi,"Onion, Welsh",24.0,92.5,26,110,1.3,0.4,4.4,0.7,0.7,,,,,,,,32,1.10,23,0.140,49,212,17,0.52,70,0.6,10,0.03,0.04,0.2,0.169,0.072,16,0,,0,0,,,,15,,,,,,,,,,0.070,0.060,0.000,0.010,0.000,0.000,0.000,0.060,0.000,,0.060,0,0.150,0.010,0.000,0.000,0.000,,0,,95,21,21,61,74,84,113,81,137,33,,55,86,176,393,94,126,86
120,4038,Hành lá (hành hoa),"Onion, Welsh",20.0,92.5,22,94,1.3,,4.3,0.9,1.0,,,,,,,,80,1.00,23,0.260,41,123,16,0.44,180,,60,0.03,0.10,1.0,,,,,,,0,0.00,,,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
121,4039,Hành tây,"Onion, common, garden",17.0,88.0,41,171,1.8,0.1,8.2,1.1,0.8,4.28,0,0,0.01,1.16,1.95,1.16,38,0.80,23,0.200,58,221,8,1.43,70,1.5,10,0.03,0.04,0.2,0.122,0.147,19,0,0.9,0,0,0.00,0.02,0.4,1,0,0,0,0,13,,,,,0.030,0.020,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.010,0,0.060,0.000,0.000,0.000,0.000,,0,15,60,16,20,41,22,25,44,23,160,14,19,30,58,70,220,41,30,27
122,4040,Hạt sen tươi,"Lotus seed, raw",39.0,57.9,161,672,9.5,0.5,29.5,0.8,1.8,,,,,,,,76,1.40,56,0.620,164,367,1,0.28,94,,17,0.17,0.09,1.7,0.228,0.168,28,0,,0,0,,,,10,,,,,,,,,,0.090,0.080,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.060,0,0.290,0.030,0.000,0.000,0.000,,0,,264,72,59,206,200,266,326,205,338,115,54,100,239,505,957,221,344,252
123,4041,Hạt sen khô,Dried lotus seed,0.0,14.0,334,1396,20.0,2.4,58.0,2.2,3.4,,,,,,,,89,6.40,210,2.320,285,1368,5,1.05,350,,0,0.64,0.15,1.6,0.851,0.629,104,0,,0,0,,,,30,,,,,,,,,,0.330,0.290,0.000,0.000,0.000,0.000,0.000,0.390,0.000,0.000,0.230,1,1.060,0.100,0.000,0.000,0.000,,0,,985,267,221,767,747,991,1215,765,1262,430,201,375,892,1884,3570,826,1285,939
124,4042,Hế lá,"Onion, fragrant, Chinese leek",13.0,94.5,18,73,2.2,0.3,1.5,0.9,0.6,3.9,,,,,,,56,1.30,18,0.300,45,234,6,0.20,100,1,19,0.03,0.09,0.9,0.14,0.233,64,0,1.4,0,0,0.00,0.92,47,1000,0,0,0,1900,,,,,,0.040,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.070,0.100,0.000,0.000,0.000,,0,,78,18,12,55,63,56,96,52,78,25,25,41,74,140,226,69,66,92
125,4043,Hoa chuối,"Banana, buds and flowers",29.0,92.0,20,84,1.5,,3.5,2.0,1.0,,,,,,,,44,0.90,,,32,,,,,,5,1.04,0.03,0.4,,,,,,,0,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
126,4044,Hoa lý,"Daylily, lemon flowers, Pergularia, raw",3.0,90.5,23,95,2.9,,2.8,3.0,0.8,,,,,,,,52,1.20,,,53,,,,,,48,0.19,0.13,1.1,,,,,,,0,,,,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
127,4045,Khế,Carambola; Star fruit,13.0,93.5,16,69,0.6,0.3,2.8,2.6,0.2,3.98,,,,,,,10,0.90,10,0.040,8,133,2,0.12,137,0.6,30,0.05,0.04,0.4,0.391,0.017,12,0,,0,0,0.00,0.15,0,25,24,0,0,64,,,,,,0.020,0.010,0.000,0.010,0.000,0.000,0.000,0.030,0.000,0.000,0.030,0,0.160,0.030,0.000,0.000,0.000,,0,,77,21,8,37,44,50,77,44,21,8,,44,71,98,148,50,50,83
128,4046,Lá lốt,Lolot,0.0,86.5,39,162,4.3,,5.4,2.5,1.3,,,,,,,,260,4.10,98,,980,598,15,,,,34,0.00,0.00,0.0,,,,,,,0,,,,4050,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
129,4047,Lá me,"Tamarind, leaves",0.0,86.0,46,192,7.5,,4.0,,2.5,,,,,,,,319,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
130,4048,Lá mơ lông,Wild plant,0.0,86.1,27,114,3.9,,2.9,5.1,2.0,,,,,,,,211,,,,3,,,,,,75,,,,,,,,,,0,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
131,4049,Lá sắn tươi,Cassava leaves,0.0,74.8,78,328,7.0,,12.6,4.3,1.3,,,,,,,,200,1.90,,,27,,,,,,295,0.25,0.66,2.4,,,,,,,0,,,,8280,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,340,140,110,420,300,460,710,390,350,150,76,227,,,,,,
132,4050,Măng chua,"Bamboo shoot, unspecified",24.0,92.8,11,47,1.4,,1.4,4.1,0.3,,,,,,,,18,0.90,88,,29,486,9,1.10,190,,9,0.11,0.09,0.6,,,,,,,0,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
133,4051,Măng khô,Dried bamboo shoots,0.0,23.0,157,656,13.0,2.1,21.5,36.0,4.4,,,,,,,,100,5.00,,,200,,,,,,1,0.11,0.14,1.3,,,,,,,0,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
134,4052,Măng tây,"Asparagus, white",50.0,93.7,14,59,2.2,0.1,1.1,2.3,0.6,1.88,,,,,,,21,0.90,14,0.160,6,202,2,0.54,189,2.3,10,0.16,0.03,3.0,0.274,0.091,52,0,0.2,0,0,,1.13,41.6,449,9,0,0,710,23,,,,,0.050,0.040,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0,0.040,0.010,0.000,0.000,0.000,,0,24,108,22,22,54,64,88,99,84,107,35,27,36,107,265,374,74,121,87
135,4053,Măng tre,"Bamboo shoots, spring variety",50.0,92.0,15,63,1.7,0.3,1.4,4.1,0.5,3,,,,,,,22,1.00,3,0.260,58,533,4,1.10,190,0.8,1,0.08,0.08,0.6,0.161,0.24,7,0,,0,0,,1,0,12,,,,,29,,,,,0.070,0.050,0.000,0.010,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0,0.110,0.020,0.000,0.000,0.000,,0,19,134,30,27,90,86,106,140,88,97,42,22,,124,425,248,87,219,127
136,4054,Mướp,"Gourd, sponge gourd",18.8,95.1,17,69,0.9,0.2,2.8,0.5,0.5,,,,,,,,28,0.80,14,0.090,45,139,3,0.07,35,0.2,8,0.04,0.06,0.5,0.218,0.043,7,0,,0,0,,,,160,,,,,,,,,,0.020,0.010,0.000,0.010,0.000,0.000,0.000,0.040,0.000,0.000,0.040,0,0.090,0.000,0.000,0.000,0.000,,0,,,,,,,,,,,,,,,,,,,
137,4055,Mướp đắng,"Balsam-pear, balsam-apple, bitter melon, bitter gourd",20.0,94.4,16,69,0.9,0.2,2.8,1.1,0.6,,,,,,,,18,0.60,17,0.090,29,296,5,0.80,34,0.2,22,0.07,0.04,0.3,0.212,0.043,72,0,,0,0,,,,190,185,0,0,170,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
138,4056,Mướp Nhật bản,"Gourd, sponge gourd, Japanese",10.0,95.4,10,44,0.8,0.0,1.8,1.4,0.6,,,,,,,,30,0.30,,,22,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
139,4057,Ngải cứu,"Mugwort, common sagebrush",31.0,89.7,25,104,3.8,0.0,2.4,2.0,2.1,,,,,,,,136,3.10,,,45,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
140,4058,Ngô bao tử,"Corn, small variety immature, baby corn",0.0,89.2,40,168,2.2,0.2,7.4,0.4,0.6,,,,,,,,5,0.90,,,52,,,,,,34,0.09,0.20,0.7,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
141,4059,Ngó sen,"Lotus, stem underground",11.0,82.9,61,253,1.0,0.1,13.9,1.2,0.9,,,,,,,,19,0.50,23,0.260,51,556,40,0.39,257,0.7,25,0.11,0.04,0.4,0.377,0.258,13,0,,0,0,,,,10,,,,,,,,,,0.030,0.030,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.010,0,0.010,0.010,0.000,0.000,0.000,,0,,94,22,20,47,51,55,69,54,88,38,22,29,54,369,139,156,136,60
142,4060,Nụ mướp,"Sponge gourd, rag, young flower",18.0,90.0,30,124,4.9,,2.5,1.5,1.1,,,,,,,,140,1.20,,,80,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
143,4061,Ớt đỏ to,"Chili pepper, peppers red",18.0,92.2,23,95,1.0,0.3,4.0,2.0,0.5,4.2,0,0,0,2.26,1.94,0,7,0.43,12,0.110,26,211,2,0.25,17,0.1,190,0.05,0.09,1.0,0.317,0.291,18,0,,,0,0.00,1.58,4.9,1624,20,490,308,51,,,,,,0.060,0.060,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0,0.100,0.060,0.000,0.000,0.000,,0,,43,12,12,30,37,41,43,32,48,20,19,20,40,142,130,37,43,40
144,4062,Ớt vàng to,"Peppers, yellow",10.0,91.0,29,122,1.3,0.2,5.5,1.4,0.6,,,,,,,,86,3.60,12,1.100,120,275,15,0.32,140,0.3,250,0.37,0.51,2.5,0.168,0.168,26,0,,0,0,,,,120,,,,,,,,,,0.030,,,,,,,,,,,,,,,,,,0,,44,12,13,31,37,42,52,32,48,20,19,21,41,143,132,37,44,40
145,4063,Ớt xanh to,"Peppers, green",10.0,92.0,25,104,1.3,0.2,4.5,1.5,0.5,2.4,0,0,0,1.12,1.16,0.11,6,0.80,10,0.120,25,175,3,0.13,66,0,103,0.04,0.05,0.9,0.099,0.224,11,0,,0,0,,,,198,22,,,,55,,,,,0.060,0.050,0.000,0.010,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0,0.050,0.010,0.000,0.000,0.000,,0,9,65,17,8,43,41,26,49,42,21,13,23,24,55,139,178,42,48,39
146,4064,Quả dọc,M· sè:,36.0,95.0,19,79,0.8,0.0,3.9,,0.3,,,,,,,,21,,,,5,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
147,4065,Quả me chua,"Tamarind fruit, pulp raw",15.0,90.3,27,112,1.9,,4.8,2.0,1.0,,,,,,,,130,0.40,,,46,,,,,,12,0.15,0.05,0.4,,,,,,,0,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
148,4066,Rau bí,Pumpkin leaves,23.4,93.2,18,74,2.7,,1.7,1.7,0.7,,,,,,,,100,2.10,18,0.290,26,390,17,0.45,90,0.9,11,0.09,0.13,0.9,0.042,0.207,36,0,,0,0,,,,1940,,,,,,,,,,0.210,0.150,0.000,0.010,0.000,0.000,0.000,0.050,0.000,0.030,0.030,0,0.010,0.010,0.000,0.000,0.000,,0,,200,54,41,171,156,181,318,156,217,50,32,156,,,,,,
149,4067,Rau câu khô,Dried seaweed,0.0,20.0,198,828,11.2,1.1,35.8,20.8,11.1,2.97,,,,,,,378,8.80,770,4.300,124,1125,102,5.80,610,7.4,0,0.01,0.22,0.2,3.018,0.303,580,0,,0,0,,5,24.4,,,,,,,,,,,0.060,0.060,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.010,0.010,0,0.000,0.000,0.000,0.000,0.000,,0,,,,,,,,,,,,,,,,,,,
150,4068,Rau câu tươi,Seaweed fresh,4.0,86.2,25,104,1.9,0.1,4.1,5.0,2.7,0.28,,,,,,,85,0.90,67,0.370,34,226,9,0.58,61,0.7,0,0.01,0.03,0.5,0.302,0.032,85,0,,0,0,,0.87,2.3,,,,,,,,,,,0.010,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.010,0.000,,0,,,,,,,,,,,,,,,,,,,
151,4069,Rau diếp,Lettuce garden,10.0,95.7,14,57,1.2,0.2,1.8,0.5,0.6,0.78,0,0,0,0.43,0.36,0,38,1.10,18,0.800,37,254,14,0.40,180,0.8,30,0.30,0.09,0.2,0.134,0.09,38,0,,0,0,,0.29,173.6,4443,0,0,0,1730,13,,,,,0.020,0.020,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0,0.020,0.060,0.000,0.000,0.000,,0,38,84,16,9,55,59,70,79,84,71,22,16,32,56,142,182,57,48,39
152,4070,Rau đay,Jute potherb,20.0,91.4,25,106,2.8,0.3,3.0,1.5,1.1,,,,,,,,182,7.70,79,0.120,57,417,16,0.79,255,0.9,77,0.13,0.26,1.1,0.072,0.6,123,0,,0,0,,,,4560,,,,,,,,,,0.040,0.030,0.000,0.010,0.000,0.000,0.000,0.020,0.000,0.000,0.010,0,0.120,0.000,0.000,0.000,0.000,,0,,219,65,30,212,164,248,388,221,248,110,40,147,256,567,493,214,246,182
153,4071,"Rau giấp cá, diếp cá",Wild plant,0.0,91.5,22,94,2.9,,2.7,1.8,1.1,,,,,,,,,,,,,,,,,,68,,,,,,,,,,0,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
154,4072,Rau giền cơm,"Amaranth, spineless",0.0,92.0,21,87,3.4,0.3,1.1,1.6,1.6,,,,,,,,341,4.10,55,0.890,76,611,20,0.90,162,0.9,63,0.36,1.30,1.3,0.064,0.192,85,0,,0,0,,,1140,5300,,,,,,,,,,0.090,0.070,0.000,0.010,0.000,0.000,0.000,0.080,0.000,0.000,0.080,0,0.150,0.000,0.000,0.000,0.000,,0,,127,36,31,133,99,137,195,119,121,52,29,80,139,229,292,132,121,111
155,4073,Rau giền đỏ,"Amaranth, sp. Red",38.0,86.2,41,170,3.3,0.3,6.2,1.6,2.4,,,,,,,,288,5.40,164,1.850,123,476,56,0.50,200,,89,0.08,1.16,1.4,,,,,,,0,,,,4080,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
156,4074,Rau giền trắng,"Amaranth, sp White",14.0,86.7,42,174,3.2,0.4,6.3,1.5,1.9,,,,,,,,288,6.10,,,80,,,,,,27,0.08,0.28,0.3,,,,,,,0,,,,2855,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,110,40,,120,100,120,170,100,100,40,,,,,,,,
157,4075,Rau húng,"Basil sweet leaves, raw",20.0,91.4,20,85,2.2,0.6,1.5,3.5,0.8,0.3,,,,,,,202,4.80,73,1.860,83,148,91,0.91,220,0.3,27,0.08,0.35,0.8,0.238,0.129,64,0,,0,0,,,414.8,3142,0,46,0,5650,,,,,,0.040,0.040,0.000,0.010,0.000,0.000,0.000,0.090,0.000,0.000,0.090,0,0.070,0.320,0.000,0.000,0.000,,0,,110,36,39,130,104,127,191,104,117,51,28,77,132,301,277,122,104,99
158,4076,Rau khoai lang,"Sweet potato, leaves",5.0,91.9,23,97,2.6,0.3,2.5,1.4,1.3,,,,,,,,48,2.70,60,0.260,54,498,19,0.29,37,0.9,11,0.13,0.26,0.9,0.225,0.19,80,0,,0,0,,,,1830,,,,,,,,,,0.070,0.060,0.000,0.010,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0,0.110,0.020,0.000,0.000,0.000,,0,,228,86,35,,,,,,,,47,,,,,,,
159,4077,Rau kinh giới,Sweet marjoram,16.0,90.3,22,92,2.7,,2.8,3.6,0.6,,,,,,,,246,1.00,89,,15,211,2,0.52,250,,110,,,,,,,,,,0,,,,4360,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
160,4078,Rau má rừng,Wild plant,0.0,91.1,25,104,3.1,,3.1,1.5,1.2,,,,,,,,172,0.20,,,24,,,,,,20,,,,,,,,,,0,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
161,4079,"Rau má, má mơ","Wort, India penny",0.0,88.2,20,84,3.2,,1.8,4.5,2.3,,,,,,,,229,3.10,,,2,,,,,,37,0.15,0.14,1.2,,,,,,,0,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
162,4080,Rau mồng tơi,"Malabar night shade, Vinespinach, Ceylon spinach",17.0,93.2,14,57,2.0,,1.4,2.5,0.9,,,,,,,,176,1.60,94,0.450,34,391,38,0.54,20,,72,0.06,0.17,0.6,,,,,,,0,,,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
163,4081,Rau mùi,Coriander,15.0,93.3,16,66,2.6,0.5,0.2,1.8,1.6,0.87,,,,,,,133,4.50,26,0.430,80,521,46,0.50,225,0.9,140,0.11,0.15,1.3,0.57,0.149,62,0,,0,0,,2.5,310,3930,36,202,0,865,,,,,,0.010,0.010,0.000,0.000,0.000,0.000,0.000,0.280,0.000,0.000,0.270,0,0.040,0.000,0.000,0.000,0.000,,0,5,,,,,,,,,,,,,,,,,,
164,4082,Rau mùi tàu,"Parsley, curley",20.0,92.0,25,105,2.1,0.8,2.4,1.6,1.1,0.85,,,,,,,20,2.90,35,0.360,30,237,39,0.41,210,0.1,177,0.11,0.28,1.4,0.4,0.09,152,0,,0,0,,0.75,1640,5040,0,0,0,5561,,,,,,0.130,0.080,0.000,0.040,0.000,0.000,0.000,0.300,0.000,0.010,0.290,0,0.120,0.010,0.000,0.000,0.000,,0,5,181,42,45,145,122,172,204,118,122,61,14,82,195,194,249,145,213,136
165,4083,Rau muống,"Swamp cabbage, water spinach, water convol",37.5,92.0,25,104,3.2,0.4,2.1,1.0,1.3,0.42,0.1,0,0,0.15,0.11,0.07,100,1.40,15,0.600,37,331,37,0.35,100,1,23,0.10,0.09,0.7,0.065,0.195,194,0,1.6,0,0,,2.03,482.9,5597,0,0,0,11938,57,,,,,0.060,0.050,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.010,0.010,0,0.030,0.140,0.000,0.000,0.000,,0,9,174,53,39,129,122,161,223,147,162,64,35,108,142,240,343,134,112,104
166,4084,Rau muống khô,"Water spinach, dried",0.0,14.0,245,1025,34.2,1.8,23.0,12.0,15.0,,,,,,,,880,15.20,,,300,,,,,,10,,,,,,,,,,0,,,,12996,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
